SI_исходный,SI_расчётный,разница
2.627272727272727,2.627272727272727,0.0
1.59,1.5899999999999999,2.220446049250313e-16
2.159,2.159,0.0
1.663333333333334,1.6633333333333336,4.440892098500626e-16
4.42,4.419999999999999,8.881784197001252e-16
3.0,2.999999999999999,8.881784197001252e-16
1.764705882352941,1.7647058823529416,6.661338147750939e-16
1.764705882352941,1.764705882352941,0.0
18.75,18.749999999999996,3.552713678800501e-15
5.352941176470588,5.352941176470587,8.881784197001252e-16
1.94,1.94,0.0
2.252,2.252,0.0
8.855555555555556,8.855555555555558,1.7763568394002505e-15
1.203160270880361,1.2031602708803608,2.220446049250313e-16
24.0,24.000000000000004,3.552713678800501e-15
2.204545454545454,2.204545454545454,0.0
2.142857142857143,2.1428571428571423,4.440892098500626e-16
7.649999999999999,7.650000000000001,2.6645352591003757e-15
